Destination Name,State,Region,Category,Popular Attraction,Accessibility,Best Season
Marina Beach,Tamil Nadu,South,Beach,Beach,Easy,Monsoon
Bangaram Island,Lakshadweep,Islands,Beach,Island,Moderate,Monsoon
Bandipur National Park,Karnataka,South,Wildlife,National Park,Difficult,Monsoon
Cherrapunji,Meghalaya,Northeast,Nature,Waterfall Region,Easy,All Season
Vaishno Devi Temple,Jammu and Kashmir,North,Religious,Temple,Difficult,Monsoon
Manali,Himachal Pradesh,North,Nature,Hill Station,Moderate,Winter
Gir National Park,Gujarat,West,Wildlife,National Park,Difficult,Summer
Kanger Valley National Park,Chhattisgarh,Central,Wildlife,National Park,Difficult,Winter
Badrinath Temple,Uttarakhand,North,Religious,Temple,Easy,Winter
Shirdi Temple,Maharashtra,West,Religious,Temple,Easy,Monsoon
Statue of Unity,Gujarat,West,Historical,Monument,Easy,All Season
Ooty,Tamil Nadu,South,Nature,Hill Station,Difficult,All Season
Sukhna Lake,Chandigarh,North,Nature,Lake,Difficult,Summer
Mehrangarh Fort,Rajasthan,North,Historical,Fort,Moderate,Winter
Radhanagar Beach,Andaman and Nicobar Islands,Islands,Beach,Beach,Easy,All Season
Shillong,Meghalaya,Northeast,Nature,Hill Station,Moderate,All Season
"City Museum, Jaipur",Rajasthan,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Jaipur",Rajasthan,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Jaipur",Rajasthan,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Jaipur",Rajasthan,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Jaipur",Rajasthan,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Jaipur",Rajasthan,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Jaipur",Rajasthan,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Jaipur",Rajasthan,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Jaipur",Rajasthan,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Jaipur",Rajasthan,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Jaipur",Rajasthan,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Jaipur",Rajasthan,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Jaipur",Rajasthan,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Jaipur",Rajasthan,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Jaipur",Rajasthan,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Jaipur",Rajasthan,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Jaipur",Rajasthan,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Jaipur",Rajasthan,North,Cultural,View Tower,Easy,All Season
"Public Garden, Jaipur",Rajasthan,North,Cultural,Public Garden,Easy,All Season
"River Walk, Jaipur",Rajasthan,North,Cultural,River Walk,Easy,All Season
"City Museum, Udaipur",Rajasthan,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Udaipur",Rajasthan,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Udaipur",Rajasthan,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Udaipur",Rajasthan,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Udaipur",Rajasthan,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Udaipur",Rajasthan,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Udaipur",Rajasthan,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Udaipur",Rajasthan,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Udaipur",Rajasthan,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Udaipur",Rajasthan,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Udaipur",Rajasthan,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Udaipur",Rajasthan,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Udaipur",Rajasthan,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Udaipur",Rajasthan,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Udaipur",Rajasthan,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Udaipur",Rajasthan,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Udaipur",Rajasthan,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Udaipur",Rajasthan,North,Cultural,View Tower,Easy,All Season
"Public Garden, Udaipur",Rajasthan,North,Cultural,Public Garden,Easy,All Season
"River Walk, Udaipur",Rajasthan,North,Cultural,River Walk,Easy,All Season
"City Museum, Jodhpur",Rajasthan,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Jodhpur",Rajasthan,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Jodhpur",Rajasthan,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Jodhpur",Rajasthan,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Jodhpur",Rajasthan,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Jodhpur",Rajasthan,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Jodhpur",Rajasthan,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Jodhpur",Rajasthan,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Jodhpur",Rajasthan,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Jodhpur",Rajasthan,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Jodhpur",Rajasthan,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Jodhpur",Rajasthan,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Jodhpur",Rajasthan,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Jodhpur",Rajasthan,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Jodhpur",Rajasthan,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Jodhpur",Rajasthan,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Jodhpur",Rajasthan,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Jodhpur",Rajasthan,North,Cultural,View Tower,Easy,All Season
"Public Garden, Jodhpur",Rajasthan,North,Cultural,Public Garden,Easy,All Season
"River Walk, Jodhpur",Rajasthan,North,Cultural,River Walk,Easy,All Season
"City Museum, Lucknow",Uttar Pradesh,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Lucknow",Uttar Pradesh,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Lucknow",Uttar Pradesh,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Lucknow",Uttar Pradesh,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Lucknow",Uttar Pradesh,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Lucknow",Uttar Pradesh,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Lucknow",Uttar Pradesh,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Lucknow",Uttar Pradesh,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Lucknow",Uttar Pradesh,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Lucknow",Uttar Pradesh,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Lucknow",Uttar Pradesh,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Lucknow",Uttar Pradesh,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Lucknow",Uttar Pradesh,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Lucknow",Uttar Pradesh,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Lucknow",Uttar Pradesh,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Lucknow",Uttar Pradesh,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Lucknow",Uttar Pradesh,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Lucknow",Uttar Pradesh,North,Cultural,View Tower,Easy,All Season
"Public Garden, Lucknow",Uttar Pradesh,North,Cultural,Public Garden,Easy,All Season
"River Walk, Lucknow",Uttar Pradesh,North,Cultural,River Walk,Easy,All Season
"City Museum, Agra",Uttar Pradesh,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Agra",Uttar Pradesh,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Agra",Uttar Pradesh,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Agra",Uttar Pradesh,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Agra",Uttar Pradesh,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Agra",Uttar Pradesh,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Agra",Uttar Pradesh,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Agra",Uttar Pradesh,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Agra",Uttar Pradesh,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Agra",Uttar Pradesh,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Agra",Uttar Pradesh,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Agra",Uttar Pradesh,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Agra",Uttar Pradesh,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Agra",Uttar Pradesh,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Agra",Uttar Pradesh,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Agra",Uttar Pradesh,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Agra",Uttar Pradesh,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Agra",Uttar Pradesh,North,Cultural,View Tower,Easy,All Season
"Public Garden, Agra",Uttar Pradesh,North,Cultural,Public Garden,Easy,All Season
"River Walk, Agra",Uttar Pradesh,North,Cultural,River Walk,Easy,All Season
"City Museum, Varanasi",Uttar Pradesh,North,Cultural,City Museum,Easy,All Season
"Riverfront Park, Varanasi",Uttar Pradesh,North,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Varanasi",Uttar Pradesh,North,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Varanasi",Uttar Pradesh,North,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Varanasi",Uttar Pradesh,North,Cultural,Hill View Point,Easy,All Season
"Lake Park, Varanasi",Uttar Pradesh,North,Cultural,Lake Park,Easy,All Season
"Cultural Center, Varanasi",Uttar Pradesh,North,Cultural,Cultural Center,Easy,All Season
"Science Museum, Varanasi",Uttar Pradesh,North,Cultural,Science Museum,Easy,All Season
"Art Gallery, Varanasi",Uttar Pradesh,North,Cultural,Art Gallery,Easy,All Season
"Historic Market, Varanasi",Uttar Pradesh,North,Cultural,Historic Market,Easy,All Season
"Old Town Square, Varanasi",Uttar Pradesh,North,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Varanasi",Uttar Pradesh,North,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Varanasi",Uttar Pradesh,North,Cultural,Eco Park,Easy,All Season
"Adventure Park, Varanasi",Uttar Pradesh,North,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Varanasi",Uttar Pradesh,North,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Varanasi",Uttar Pradesh,North,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Varanasi",Uttar Pradesh,North,Cultural,Sunset Point,Easy,All Season
"View Tower, Varanasi",Uttar Pradesh,North,Cultural,View Tower,Easy,All Season
"Public Garden, Varanasi",Uttar Pradesh,North,Cultural,Public Garden,Easy,All Season
"River Walk, Varanasi",Uttar Pradesh,North,Cultural,River Walk,Easy,All Season
"City Museum, Bhopal",Madhya Pradesh,Central,Cultural,City Museum,Easy,All Season
"Riverfront Park, Bhopal",Madhya Pradesh,Central,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Bhopal",Madhya Pradesh,Central,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Bhopal",Madhya Pradesh,Central,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Bhopal",Madhya Pradesh,Central,Cultural,Hill View Point,Easy,All Season
"Lake Park, Bhopal",Madhya Pradesh,Central,Cultural,Lake Park,Easy,All Season
"Cultural Center, Bhopal",Madhya Pradesh,Central,Cultural,Cultural Center,Easy,All Season
"Science Museum, Bhopal",Madhya Pradesh,Central,Cultural,Science Museum,Easy,All Season
"Art Gallery, Bhopal",Madhya Pradesh,Central,Cultural,Art Gallery,Easy,All Season
"Historic Market, Bhopal",Madhya Pradesh,Central,Cultural,Historic Market,Easy,All Season
"Old Town Square, Bhopal",Madhya Pradesh,Central,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Bhopal",Madhya Pradesh,Central,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Bhopal",Madhya Pradesh,Central,Cultural,Eco Park,Easy,All Season
"Adventure Park, Bhopal",Madhya Pradesh,Central,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Bhopal",Madhya Pradesh,Central,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Bhopal",Madhya Pradesh,Central,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Bhopal",Madhya Pradesh,Central,Cultural,Sunset Point,Easy,All Season
"View Tower, Bhopal",Madhya Pradesh,Central,Cultural,View Tower,Easy,All Season
"Public Garden, Bhopal",Madhya Pradesh,Central,Cultural,Public Garden,Easy,All Season
"River Walk, Bhopal",Madhya Pradesh,Central,Cultural,River Walk,Easy,All Season
"City Museum, Indore",Madhya Pradesh,Central,Cultural,City Museum,Easy,All Season
"Riverfront Park, Indore",Madhya Pradesh,Central,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Indore",Madhya Pradesh,Central,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Indore",Madhya Pradesh,Central,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Indore",Madhya Pradesh,Central,Cultural,Hill View Point,Easy,All Season
"Lake Park, Indore",Madhya Pradesh,Central,Cultural,Lake Park,Easy,All Season
"Cultural Center, Indore",Madhya Pradesh,Central,Cultural,Cultural Center,Easy,All Season
"Science Museum, Indore",Madhya Pradesh,Central,Cultural,Science Museum,Easy,All Season
"Art Gallery, Indore",Madhya Pradesh,Central,Cultural,Art Gallery,Easy,All Season
"Historic Market, Indore",Madhya Pradesh,Central,Cultural,Historic Market,Easy,All Season
"Old Town Square, Indore",Madhya Pradesh,Central,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Indore",Madhya Pradesh,Central,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Indore",Madhya Pradesh,Central,Cultural,Eco Park,Easy,All Season
"Adventure Park, Indore",Madhya Pradesh,Central,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Indore",Madhya Pradesh,Central,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Indore",Madhya Pradesh,Central,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Indore",Madhya Pradesh,Central,Cultural,Sunset Point,Easy,All Season
"View Tower, Indore",Madhya Pradesh,Central,Cultural,View Tower,Easy,All Season
"Public Garden, Indore",Madhya Pradesh,Central,Cultural,Public Garden,Easy,All Season
"River Walk, Indore",Madhya Pradesh,Central,Cultural,River Walk,Easy,All Season
"City Museum, Gwalior",Madhya Pradesh,Central,Cultural,City Museum,Easy,All Season
"Riverfront Park, Gwalior",Madhya Pradesh,Central,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Gwalior",Madhya Pradesh,Central,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Gwalior",Madhya Pradesh,Central,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Gwalior",Madhya Pradesh,Central,Cultural,Hill View Point,Easy,All Season
"Lake Park, Gwalior",Madhya Pradesh,Central,Cultural,Lake Park,Easy,All Season
"Cultural Center, Gwalior",Madhya Pradesh,Central,Cultural,Cultural Center,Easy,All Season
"Science Museum, Gwalior",Madhya Pradesh,Central,Cultural,Science Museum,Easy,All Season
"Art Gallery, Gwalior",Madhya Pradesh,Central,Cultural,Art Gallery,Easy,All Season
"Historic Market, Gwalior",Madhya Pradesh,Central,Cultural,Historic Market,Easy,All Season
"Old Town Square, Gwalior",Madhya Pradesh,Central,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Gwalior",Madhya Pradesh,Central,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Gwalior",Madhya Pradesh,Central,Cultural,Eco Park,Easy,All Season
"Adventure Park, Gwalior",Madhya Pradesh,Central,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Gwalior",Madhya Pradesh,Central,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Gwalior",Madhya Pradesh,Central,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Gwalior",Madhya Pradesh,Central,Cultural,Sunset Point,Easy,All Season
"View Tower, Gwalior",Madhya Pradesh,Central,Cultural,View Tower,Easy,All Season
"Public Garden, Gwalior",Madhya Pradesh,Central,Cultural,Public Garden,Easy,All Season
"River Walk, Gwalior",Madhya Pradesh,Central,Cultural,River Walk,Easy,All Season
"City Museum, Hyderabad",Telangana,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Hyderabad",Telangana,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Hyderabad",Telangana,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Hyderabad",Telangana,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Hyderabad",Telangana,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Hyderabad",Telangana,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Hyderabad",Telangana,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Hyderabad",Telangana,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Hyderabad",Telangana,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Hyderabad",Telangana,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Hyderabad",Telangana,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Hyderabad",Telangana,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Hyderabad",Telangana,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Hyderabad",Telangana,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Hyderabad",Telangana,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Hyderabad",Telangana,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Hyderabad",Telangana,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Hyderabad",Telangana,South,Cultural,View Tower,Easy,All Season
"Public Garden, Hyderabad",Telangana,South,Cultural,Public Garden,Easy,All Season
"River Walk, Hyderabad",Telangana,South,Cultural,River Walk,Easy,All Season
"City Museum, Bengaluru",Karnataka,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Bengaluru",Karnataka,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Bengaluru",Karnataka,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Bengaluru",Karnataka,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Bengaluru",Karnataka,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Bengaluru",Karnataka,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Bengaluru",Karnataka,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Bengaluru",Karnataka,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Bengaluru",Karnataka,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Bengaluru",Karnataka,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Bengaluru",Karnataka,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Bengaluru",Karnataka,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Bengaluru",Karnataka,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Bengaluru",Karnataka,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Bengaluru",Karnataka,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Bengaluru",Karnataka,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Bengaluru",Karnataka,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Bengaluru",Karnataka,South,Cultural,View Tower,Easy,All Season
"Public Garden, Bengaluru",Karnataka,South,Cultural,Public Garden,Easy,All Season
"River Walk, Bengaluru",Karnataka,South,Cultural,River Walk,Easy,All Season
"City Museum, Mysuru",Karnataka,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Mysuru",Karnataka,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Mysuru",Karnataka,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Mysuru",Karnataka,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Mysuru",Karnataka,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Mysuru",Karnataka,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Mysuru",Karnataka,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Mysuru",Karnataka,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Mysuru",Karnataka,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Mysuru",Karnataka,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Mysuru",Karnataka,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Mysuru",Karnataka,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Mysuru",Karnataka,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Mysuru",Karnataka,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Mysuru",Karnataka,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Mysuru",Karnataka,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Mysuru",Karnataka,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Mysuru",Karnataka,South,Cultural,View Tower,Easy,All Season
"Public Garden, Mysuru",Karnataka,South,Cultural,Public Garden,Easy,All Season
"River Walk, Mysuru",Karnataka,South,Cultural,River Walk,Easy,All Season
"City Museum, Chennai",Tamil Nadu,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Chennai",Tamil Nadu,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Chennai",Tamil Nadu,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Chennai",Tamil Nadu,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Chennai",Tamil Nadu,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Chennai",Tamil Nadu,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Chennai",Tamil Nadu,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Chennai",Tamil Nadu,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Chennai",Tamil Nadu,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Chennai",Tamil Nadu,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Chennai",Tamil Nadu,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Chennai",Tamil Nadu,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Chennai",Tamil Nadu,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Chennai",Tamil Nadu,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Chennai",Tamil Nadu,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Chennai",Tamil Nadu,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Chennai",Tamil Nadu,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Chennai",Tamil Nadu,South,Cultural,View Tower,Easy,All Season
"Public Garden, Chennai",Tamil Nadu,South,Cultural,Public Garden,Easy,All Season
"River Walk, Chennai",Tamil Nadu,South,Cultural,River Walk,Easy,All Season
"City Museum, Madurai",Tamil Nadu,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Madurai",Tamil Nadu,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Madurai",Tamil Nadu,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Madurai",Tamil Nadu,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Madurai",Tamil Nadu,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Madurai",Tamil Nadu,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Madurai",Tamil Nadu,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Madurai",Tamil Nadu,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Madurai",Tamil Nadu,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Madurai",Tamil Nadu,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Madurai",Tamil Nadu,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Madurai",Tamil Nadu,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Madurai",Tamil Nadu,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Madurai",Tamil Nadu,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Madurai",Tamil Nadu,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Madurai",Tamil Nadu,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Madurai",Tamil Nadu,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Madurai",Tamil Nadu,South,Cultural,View Tower,Easy,All Season
"Public Garden, Madurai",Tamil Nadu,South,Cultural,Public Garden,Easy,All Season
"River Walk, Madurai",Tamil Nadu,South,Cultural,River Walk,Easy,All Season
"City Museum, Coimbatore",Tamil Nadu,South,Cultural,City Museum,Easy,All Season
"Riverfront Park, Coimbatore",Tamil Nadu,South,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Coimbatore",Tamil Nadu,South,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Coimbatore",Tamil Nadu,South,Cultural,Heritage Fort,Easy,All Season
"Hill View Point, Coimbatore",Tamil Nadu,South,Cultural,Hill View Point,Easy,All Season
"Lake Park, Coimbatore",Tamil Nadu,South,Cultural,Lake Park,Easy,All Season
"Cultural Center, Coimbatore",Tamil Nadu,South,Cultural,Cultural Center,Easy,All Season
"Science Museum, Coimbatore",Tamil Nadu,South,Cultural,Science Museum,Easy,All Season
"Art Gallery, Coimbatore",Tamil Nadu,South,Cultural,Art Gallery,Easy,All Season
"Historic Market, Coimbatore",Tamil Nadu,South,Cultural,Historic Market,Easy,All Season
"Old Town Square, Coimbatore",Tamil Nadu,South,Cultural,Old Town Square,Easy,All Season
"City Palace Complex, Coimbatore",Tamil Nadu,South,Cultural,City Palace Complex,Easy,All Season
"Eco Park, Coimbatore",Tamil Nadu,South,Cultural,Eco Park,Easy,All Season
"Adventure Park, Coimbatore",Tamil Nadu,South,Cultural,Adventure Park,Easy,All Season
"Nature Reserve, Coimbatore",Tamil Nadu,South,Cultural,Nature Reserve,Easy,All Season
"Archaeology Museum, Coimbatore",Tamil Nadu,South,Cultural,Archaeology Museum,Easy,All Season
"Sunset Point, Coimbatore",Tamil Nadu,South,Cultural,Sunset Point,Easy,All Season
"View Tower, Coimbatore",Tamil Nadu,South,Cultural,View Tower,Easy,All Season
"Public Garden, Coimbatore",Tamil Nadu,South,Cultural,Public Garden,Easy,All Season
"River Walk, Coimbatore",Tamil Nadu,South,Cultural,River Walk,Easy,All Season
"City Museum, Kolkata",West Bengal,East,Cultural,City Museum,Easy,All Season
"Riverfront Park, Kolkata",West Bengal,East,Cultural,Riverfront Park,Easy,All Season
"Botanical Garden, Kolkata",West Bengal,East,Cultural,Botanical Garden,Easy,All Season
"Heritage Fort, Kolkata",West Bengal,East,Cultural,Heritage Fort,Easy,All Season
